company,title,description,published,url
Apple,Apple Watch Series 12 and watchOS 27: What to Expect Later This Year,"While not too much has been reported about the next Apple Watch models, there are a few rumors about potential design changes and watchOS 27 features.





Apple Watch Series 12 and Apple Watch Ultra 4 models are expected to be released in September, and we h…",2026-05-08T20:05:57Z,https://www.macrumors.com/2026/05/08/apple-watch-series-12-and-watchos-27-rumors/
Apple,Pacific Northwest Sportswatch Daily Listings,BTN MLS: Sporting Kansas City vs. Portland Timbers — Apple TV MLS: San Diego vs. Seattle Sounders — Apple TV The Associated Press created this story using...,2026-05-08T20:05:12Z,https://sports.yahoo.com/articles/pacific-northwest-sportswatch-daily-listings-200512732.html
Apple,Intel’s comeback story is even wilder than it seems,"Intel's stock has risen a stunning 490% over the past year, a bet by Wall Street that may be running well ahead of the company's actual turnaround.",2026-05-08T20:02:52Z,https://techcrunch.com/2026/05/08/intels-comeback-story-is-even-wilder-than-it-seems/
Apple,Building Shopie for Mac With SwiftUI,"Paulo Andrade (Mastodon): Unlike my other apps, where I typically blend AppKit (or UIKit) with SwiftUI, Shopie is built entirely in SwiftUI. I wanted to keep it that way to maximize code reuse across iOS, iPadOS, and now macOS. This post explores how far Swif…",2026-05-08T20:01:32Z,https://mjtsai.com/blog/2026/05/08/building-shopie-for-mac-with-swiftui/
Apple,Apple Sued for Removing Rave App From Store,"Juli Clover: Rave, a cross-platform service that lets users watch movies and TV shows together, today filed a series of antitrust lawsuits against Apple after Apple removed the Rave app from the App Store in August 2025. According to Rave, Apple cited “unspec…",2026-05-08T20:01:25Z,https://mjtsai.com/blog/2026/05/08/apple-sued-for-removing-rave-app-from-store/
Apple,Arizona Cardinals sign RB Jeremiyah Love to 4-year fully guaranteed deal,"By signing RB Jeremiyah Love, the Arizona Cardinals have four of their seven draft picks under contract.",2026-05-08T20:00:12Z,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2026/05/08/arizona-cardinals-sign-rb-jeremiyah-love-to-4-year-fully-guaranteed-deal/89999165007/
Apple,wildr: a new free app to guide us on our ecological journey,"FINDING OUR WAY toward a more ecologically vibrant garden can sometimes feel a bit challenging, and I’m always looking for resources to guide me along the way, and to share with you. Last year I shared news about a New York-based sustainable landscaping firm …",2026-05-08T19:59:44Z,https://awaytogarden.com/wildr-a-new-free-app-to-guide-us-on-our-ecological-journey/
Apple,"iOS 26 adds fun way to customize your iPhone wallpaper, here’s how to use it","iOS 26 keeps adding a lot of new ways to customize your iPhone, but one of my favorites was there in the first 26.0 release: 3D spatial wallpapers. Here’s how to use the feature.



 more…",2026-05-08T19:59:28Z,https://9to5mac.com/2026/05/08/ios-26-adds-fun-way-to-customize-your-iphone-wallpaper-heres-how-to-use-it/
Apple,"5 former BYU, Utah and Utah State players to watch for in NFL rookie mini-camps","There are 40 players with Utah ties making their first impressions in rookie mini-camps, but these 5 stand out.",2026-05-08T19:56:55Z,https://www.deseret.com/sports/2026/05/08/5-byu-utah-utah-state-players-to-watch-nfl-rookie-minicamps/
Apple,Why Jets signed Breece Hall to long-term contract extension rather than playing on franchise tag in 2026,"Hall will take home $15.25 million in average annual salary, the third-highest mark among running backs.",2026-05-08T19:56:25Z,https://www.sportingnews.com/us/nfl/news/jets-sign-breece-hall-long-term-extension-franchise-tag-2206/265aa80372798830b10e148c
